Algeria,1990,-8800
Algeria,2000,33900
Algeria,2010,7600
Algeria,2015,-1400.0000000000000
Argentina,1990,-182600
Argentina,2000,-316400
Argentina,2010,-223400
Argentina,2015,-104800
Aruba,1990,0
Aruba,2000,0
Aruba,2010,0
Aruba,2015,0
Australia,1990,-206810.0000000000
Australia,2000,-226800.00000000000
Australia,2010,709680.0000000000
Austria,1990,6250.000000000000
Austria,2000,2510.0000000000000
Austria,2010,3600.0000000000000
Austria,2015,3590.000000000000
Azerbaijan,2010,9080.000000000000
Azerbaijan,2015,14160.000000000000
Bahrain,1990,10
Bahrain,2000,10
Bahrain,2010,20
Bahrain,2015,20
Bangladesh,1990,0
Bangladesh,2000,-3200
Bangladesh,2010,-990.000000000002
Bangladesh,2015,0
Belarus,2000,26110.000000000000
Belarus,2010,19900
Belarus,2015,26820
Belgium,2010,-110.0000000000000
Belgium,2015,0
Belize,1990,-14070
Belize,2000,-6790
Belize,2010,-11710
Belize,2015,-11160
Bhutan,1990,9930
Bhutan,2000,9930
Bhutan,2010,1980
Bhutan,2015,1980
Bolivia,1990,-270330
Bolivia,2000,-201540
Bolivia,2010,-211760
Bolivia,2015,-238690
Brazil,1990,-3780940
Brazil,2000,-3950790
Brazil,2010,-1539180.0000000000
Brazil,2015,-1453040
Bulgaria,1990,4800
Bulgaria,2000,36200
Bulgaria,2010,19200
Bulgaria,2015,12000
Burundi,1990,-8250
Burundi,2000,0
Burundi,2010,17140
Burundi,2015,0
Cameroon,1990,-90250
Cameroon,2000,-69700
Cameroon,2010,-56000
Cameroon,2015,-56000
Canada,1990,-47100
Canada,2000,-47980
Canada,2010,-41300
Canada,2015,-37520
Cape Verde,2000,300.00000000000000
Cape Verde,2010,300.00000000000000
Cape Verde,2015,300.00000000000000
Cayman Islands,1990,-20
Cayman Islands,2000,-20
Cayman Islands,2010,0
Cayman Islands,2015,0
Central African Republic,1990,-30000
Central African Republic,2000,-30000
Central African Republic,2010,-30000
Central African Republic,2015,-30000
Chile,1990,57100
Chile,2000,90820
Chile,2010,174160
Chile,2015,122920
China,1990,1986000
China,2000,2360980
China,2010,1936770
China,2015,1936790
Colombia,1990,-222260
Colombia,2000,-192770
Colombia,2010,-134630
Colombia,2015,-198550
Congo,1990,-12000
Congo,2000,-12000
Congo,2010,-12000
Congo,2015,-13800
Costa Rica,1990,-5020
Costa Rica,2000,1400
Costa Rica,2010,16370.000000000000
Costa Rica,2015,16370.000000000000
Croatia,2000,3500
Croatia,2010,400
Croatia,2015,3420.0000000000000
Cuba,1990,37700
Cuba,2000,49700
Cuba,2010,50400
Cuba,2015,11600
Denmark,1990,4020.0000000000000
Denmark,2000,1490
Denmark,2010,7640.000000000000
Denmark,2015,750.0000000000000
Djibouti,1990,0
Djibouti,2000,0
Djibouti,2010,0
Djibouti,2015,40.000000000000000
Dominican Republic,1990,37760.000000000000
Dominican Republic,2000,10070
Dominican Republic,2010,6110.000000000000
Ecuador,1990,-90170
Ecuador,2000,-70230.00000000000
Ecuador,2010,-41800
Ecuador,2015,-64270.00000000000
El Salvador,1990,-4500
El Salvador,2000,-4500
El Salvador,2010,-4500
El Salvador,2015,-4500
Equatorial Guinea,2000,-8360
Equatorial Guinea,2010,-8360
Equatorial Guinea,2015,-8360
Estonia,2000,9710
Estonia,2010,17000
Estonia,2015,3480.0000000000000
Ethiopia,2000,-73000
Ethiopia,2010,-73000
Ethiopia,2015,-73000
Falkland Islands,1990,0
Falkland Islands,2000,0
Falkland Islands,2010,0
Falkland Islands,2015,0
Faroe Islands,1990,0
Faroe Islands,2000,0
Faroe Islands,2010,0
Faroe Islands,2015,0
Finland,1990,57030
Finland,2000,-20360
Finland,2010,33400
French Guyana,1990,-4560
French Guyana,2000,-4290
French Guyana,2010,-3300.0000000000000
French Guyana,2015,-3430
Gabon,1990,-6110
Gabon,2000,-5060.000000000000
Gabon,2010,-11880
Gabon,2015,-11880
Georgia,2000,6180
Georgia,2010,0
Georgia,2015,0
Germany,1990,5400
Germany,2000,5500
Germany,2010,2000
Germany,2015,0
Gibraltar,1990,0
Gibraltar,2000,0
Gibraltar,2010,0
Gibraltar,2015,0
Greenland,1990,0
Greenland,2000,0
Greenland,2010,0
Greenland,2015,0
Guadeloupe,1990,-90
Guadeloupe,2000,-70.00000000000000
Guadeloupe,2010,130
Guadeloupe,2015,-60
Guatemala,1990,-57200
Guatemala,2000,-48660
Guatemala,2010,-27360
Guatemala,2015,-11600
Guinea,1990,-34700
Guyana,1990,-3790
Guyana,2000,-4440
Guyana,2010,-11690
Guyana,2015,-9200
Honduras,1990,-20950
Honduras,2000,-20280
Honduras,2010,-22330
Honduras,2015,-20910
Hungary,1990,10730
Hungary,2000,12520
Hungary,2010,2890.000000000000
Hungary,2015,-1560
Iceland,1990,1280
Iceland,2000,1480
Iceland,2010,700
Iceland,2015,640
India,1990,365300
India,2000,190500
India,2010,266400
India,2015,266400
Indonesia,1990,-1726500
Indonesia,2000,-162080.00000000000
Indonesia,2015,-578940
Iraq,1990,1400
Iraq,2000,700
Iraq,2010,0
Iraq,2015,0
Ireland,1990,16870.000000000000
Ireland,2000,9000
Ireland,2010,6860
Ireland,2015,5470
Isle of Man,1990,0
Isle of Man,2000,0
Isle of Man,2010,0
Isle of Man,2015,0
Italy,2010,53810
Jamaica,1990,-30.00000000000000
Jamaica,2000,3740
Jamaica,2010,3800
Jamaica,2015,3890
Kuwait,1990,140
Kuwait,2000,140
Kuwait,2010,0
Kuwait,2015,0
Kyrgyzstan,2000,4880
Kyrgyzstan,2010,4430
Kyrgyzstan,2015,12710
Latvia,2000,13110
Latvia,2010,3860
Latvia,2015,3870.000000000000
Liberia,1990,-30260
Liberia,2000,-30260
Liberia,2010,-30260
Liberia,2015,-30260
Liechtenstein,1990,0
Liechtenstein,2000,0
Liechtenstein,2010,0
Liechtenstein,2015,0
Lithuania,2000,15000
Lithuania,2010,3400
Lithuania,2015,2800
Madagascar,1990,-66900
Malawi,1990,-42000
Malawi,2000,-42000
Malawi,2010,-42000
Malawi,2015,-42000
Maldives,1990,0
Maldives,2000,0
Maldives,2010,0
Maldives,2015,0
Mali,1990,-79000
Mali,2000,-79000
Mali,2010,-79000
Mali,2015,0
Martinique,1990,90.00000000000000
Martinique,2000,150.00000000000000
Martinique,2010,200
Martinique,2015,200
Mauritania,1990,-5440.000000000000
Mauritania,2000,-5440.000000000000
Mauritania,2010,-5440.000000000000
Mauritania,2015,-5450.000000000000
Mauritius,1990,90.00000000000000
Mauritius,2000,-350
Mauritius,2010,-20.000000000000000
Mauritius,2015,90
Mayotte,1990,-340
Mayotte,2000,-130
Mayotte,2010,-50
Mayotte,2015,-50
Mexico,1990,-221030
Mexico,2000,-143800
Mexico,2010,-122480.00000000000
Mexico,2015,-127770
Moldova,2000,3010
Moldova,2010,2380
Moldova,2015,20.000000000000000
Monaco,1990,0
Monaco,2000,0
Monaco,2010,0
Monaco,2015,0
Mongolia,1990,-8810
Mongolia,2000,-8000
Mongolia,2010,-1110
Mongolia,2015,-1110
Montenegro,2010,0
Montenegro,2015,0
Morocco,1990,2120
Morocco,2000,16800.000000000000
Morocco,2010,2020
Morocco,2015,11560
Mozambique,1990,-219000
Mozambique,2000,-221590
Mozambique,2010,-206430
Mozambique,2015,-239250
Myanmar,1990,-435000
Myanmar,2000,-342700
Myanmar,2010,-289710
Myanmar,2015,-289710.0000000000
Nauru,1990,0
Nauru,2000,0
Nauru,2010,0
Nauru,2015,0
Nepal,1990,10880
Nepal,2000,18130
Nepal,2010,0
Nepal,2015,0
Netherlands,1990,1420.0000000000000
Netherlands,2000,1400
Netherlands,2010,-1730.0000000000000
Netherlands,2015,930.0000000000000
New Zealand,1990,47820.00000000000
New Zealand,2000,-230.00000000000000
New Zealand,2010,-299.99999999999900
New Zealand,2015,9200
Nicaragua,1990,-100000
Nicaragua,2000,-121120
Nicaragua,2010,-56120
Nicaragua,2015,-100000
Niger,1990,-61690
Niger,2000,-12420
Niger,2010,-12420
Niger,2015,-12420
Nigeria,1990,-163300
Nigeria,2000,-163310
Nigeria,2010,-163310
Nigeria,2015,-163300
North Korea,1990,-45730
North Korea,2000,-21230
North Korea,2010,-21230
North Korea,2015,-21230
Norway,1990,-1900
Norway,2000,-1100.0000000000000
Norway,2010,7800.000000000000
Norway,2015,7800.000000000000
Panama,1990,-16530
Panama,2000,-11420
Panama,2010,-11420
Panama,2015,-11410
Papua New Guinea,1990,-12170
Papua New Guinea,2000,-9910
Papua New Guinea,2010,-30900
Papua New Guinea,2015,-33530
Paraguay,1990,-255420
Paraguay,2000,-342140
Paraguay,2010,-414250
Paraguay,2015,-279340
Peru,1990,-115070
Peru,2000,-124800
Peru,2010,-171050
Peru,2015,-172830
Poland,1990,17700
Poland,2000,27000
Poland,2010,18200
Poland,2015,12600
Portugal,2010,12000
Qatar,1990,0
Qatar,2000,0
Qatar,2010,0
Qatar,2015,0
Romania,2000,14900
Romania,2010,69200
Romania,2015,13610
Russia,2000,586710
Russia,2010,-41030
Russia,2015,76230
San Marino,1990,0
San Marino,2000,0
San Marino,2010,0
San Marino,2015,0
Sao Tome and Principe,1990,-30
Sao Tome and Principe,2000,-30
Sao Tome and Principe,2010,-620
Sao Tome and Principe,2015,-620
Senegal,2010,-40000
Senegal,2015,-40000
Serbia,2010,1310.0000000000000
Serbia,2015,620
Singapore,1990,220
Singapore,2000,70.00000000000000
Singapore,2010,-250
Singapore,2015,-180
Slovenia,2000,1400
Slovenia,2010,200
Slovenia,2015,-2030.0000000000000
Somalia,1990,-76750
Somalia,2000,-76750
Somalia,2010,-76750
Somalia,2015,-76750
South Africa,1990,-36400.00000000000
South Africa,2000,-36400.00000000000
South Africa,2010,-36400.000000000000
South Africa,2015,-36400.000000000000
South Korea,1990,-7500
South Korea,2000,-8900
South Korea,2010,-10000
South Korea,2015,-10000
Spain,2000,145140
Spain,2010,1170
Spain,2015,4200
Sudan,2015,-170080.00000000000
Suriname,1990,-3680
Suriname,2000,-4100.000000000000
Suriname,2010,-9640
Suriname,2015,-11080
Sweden,1990,10000.000000000000
Sweden,2000,-9000
Sweden,2010,-18600
Sweden,2015,0
Switzerland,1990,4270
Switzerland,2000,3850.000000000000
Switzerland,2010,3440.0000000000000
Switzerland,2015,3440.0000000000000
Syria,1990,6000
Syria,2000,4870.000000000000
Syria,2010,3550.000000000000
Tanzania,1990,-372000
Tanzania,2000,-372000
Tanzania,2010,-372000
Tanzania,2015,-469000
Thailand,1990,-36300
Thailand,2000,107500
Thailand,2010,-2400.0000000000100
Thailand,2015,-37600
Togo,1990,-9320
Togo,2000,-2960
Togo,2010,-2960
Togo,2015,-2960
Tokelau,1990,0
Tokelau,2000,0
Tokelau,2010,0
Tokelau,2015,0
Tunisia,1990,2390
Tunisia,2000,1960
Tunisia,2010,1530.0000000000000
Tunisia,2015,1530.0000000000000
Turkey,1990,36490
Turkey,2000,93470
Turkey,2010,109440
Turkey,2015,118010
Uganda,1990,-41250
Uganda,2000,-41250
Uganda,2010,-41250
Uganda,2015,-41250
Ukraine,2000,3800
Ukraine,2010,21800
Ukraine,2015,6600.000000000000
United Kingdom,2000,10500
United Kingdom,2010,19200
United States,1990,108600
United States,2000,518400
United States,2010,275000
Uruguay,2000,36230
Uruguay,2010,37740
Uzbekistan,2000,38810
Uzbekistan,2010,39960
Uzbekistan,2015,28050.000000000000
Vatican,1990,0
Vatican,2000,0
Vatican,2010,0
Vatican,2015,0
Venezuela,1990,-287500
Venezuela,2000,-164600.00000000000
Venezuela,2010,-164400
Venezuela,2015,-90420
Vietnam,1990,240810
Vietnam,2000,160400
Vietnam,2010,134760
Vietnam,2015,116250
Zambia,2000,-35800
Zambia,2010,-188180
Zambia,2015,-188210
Zimbabwe,1990,-46070
Zimbabwe,2000,-46070
Zimbabwe,2010,-46070
Zimbabwe,2015,-46070